Id,Year,Race,Driver,DriverNumber,Team,LapTime,Sector1Time,Sector2Time,Sector3Time,IsPersonalBest,Deleted,IsAccurate
484,2018,Monaco Grand Prix,PER,11,Force India,0 days 00:01:12.194000,0 days 00:00:18.991000,0 days 00:00:33.906000,0 days 00:00:19.297000,True,False,True
490,2018,Monaco Grand Prix,PER,11,Force India,0 days 00:01:12.583000,0 days 00:00:19.229000,0 days 00:00:33.945000,0 days 00:00:19.409000,True,False,True
493,2018,Monaco Grand Prix,PER,11,Force India,0 days 00:01:12.154000,0 days 00:00:18.988000,0 days 00:00:33.940000,0 days 00:00:19.226000,True,False,True
525,2018,Monaco Grand Prix,HUL,27,Renault,0 days 00:01:23.379000,0 days 00:00:21.636000,0 days 00:00:39.381000,0 days 00:00:22.362000,True,False,True
526,2018,Monaco Grand Prix,HUL,27,Renault,0 days 00:01:21.765000,0 days 00:00:19.462000,0 days 00:00:34.223000,0 days 00:00:28.080000,True,False,True
528,2018,Monaco Grand Prix,HUL,27,Renault,0 days 00:01:13.147000,0 days 00:00:19.537000,0 days 00:00:34.236000,0 days 00:00:19.374000,True,False,True
530,2018,Monaco Grand Prix,HUL,27,Renault,0 days 00:01:13.065000,0 days 00:00:19.417000,0 days 00:00:34.297000,0 days 00:00:19.351000,True,False,True
537,2018,Monaco Grand Prix,HUL,27,Renault,0 days 00:01:27.158000,0 days 00:00:21.186000,0 days 00:00:42.273000,0 days 00:00:23.699000,True,False,True
538,2018,Monaco Grand Prix,HUL,27,Renault,0 days 00:01:12.447000,0 days 00:00:19.163000,0 days 00:00:33.941000,0 days 00:00:19.343000,True,False,True
544,2018,Monaco Grand Prix,HUL,27,Renault,0 days 00:01:12.411000,0 days 00:00:19.049000,0 days 00:00:34.119000,0 days 00:00:19.243000,True,False,True
568,2018,Monaco Grand Prix,SIR,35,Williams,0 days 00:01:12.706000,0 days 00:00:19.179000,0 days 00:00:34.225000,0 days 00:00:19.302000,True,False,True
575,2018,Monaco Grand Prix,SIR,35,Williams,0 days 00:01:12.722000,0 days 00:00:19.085000,0 days 00:00:34.226000,0 days 00:00:19.411000,True,False,True
580,2018,Monaco Grand Prix,SIR,35,Williams,0 days 00:01:12.521000,0 days 00:00:19.039000,0 days 00:00:34.253000,0 days 00:00:19.229000,True,False,True
651,2018,Monaco Grand Prix,STR,18,Williams,0 days 00:01:13.682000,0 days 00:00:19.374000,0 days 00:00:34.677000,0 days 00:00:19.631000,True,False,True
655,2018,Monaco Grand Prix,STR,18,Williams,0 days 00:01:13.323000,0 days 00:00:19.106000,0 days 00:00:34.464000,0 days 00:00:19.753000,True,False,True
820,2018,British Grand Prix,OCO,31,Force India,0 days 00:01:28.679000,0 days 00:00:28.203000,0 days 00:00:36.190000,0 days 00:00:24.286000,True,False,True
822,2018,British Grand Prix,OCO,31,Force India,0 days 00:01:28.425000,0 days 00:00:28.309000,0 days 00:00:35.787000,0 days 00:00:24.329000,True,False,True
825,2018,British Grand Prix,OCO,31,Force India,0 days 00:01:28.279000,0 days 00:00:28.142000,0 days 00:00:35.809000,0 days 00:00:24.328000,True,False,True
828,2018,British Grand Prix,OCO,31,Force India,0 days 00:01:27.843000,0 days 00:00:27.987000,0 days 00:00:35.751000,0 days 00:00:24.105000,True,False,True
834,2018,British Grand Prix,OCO,31,Force India,0 days 00:01:28.768000,0 days 00:00:28.485000,0 days 00:00:36.010000,0 days 00:00:24.273000,True,False,True
837,2018,British Grand Prix,OCO,31,Force India,0 days 00:01:28.194000,0 days 00:00:28.143000,0 days 00:00:35.833000,0 days 00:00:24.218000,True,False,True
840,2018,British Grand Prix,HUL,27,Renault,0 days 00:01:28.544000,0 days 00:00:28.334000,0 days 00:00:35.911000,0 days 00:00:24.299000,True,False,True
843,2018,British Grand Prix,HUL,27,Renault,0 days 00:01:28.017000,0 days 00:00:28.158000,0 days 00:00:35.731000,0 days 00:00:24.128000,True,False,True
846,2018,British Grand Prix,HUL,27,Renault,0 days 00:01:27.901000,0 days 00:00:28.215000,0 days 00:00:35.673000,0 days 00:00:24.013000,True,False,True
852,2018,British Grand Prix,PER,11,Force India,0 days 00:01:28.836000,0 days 00:00:28.224000,0 days 00:00:36.186000,0 days 00:00:24.426000,True,False,True
854,2018,British Grand Prix,PER,11,Force India,0 days 00:01:28.474000,0 days 00:00:28.110000,0 days 00:00:35.918000,0 days 00:00:24.446000,True,False,True
857,2018,British Grand Prix,PER,11,Force India,0 days 00:01:28.210000,0 days 00:00:28.084000,0 days 00:00:35.822000,0 days 00:00:24.304000,True,False,True
860,2018,British Grand Prix,PER,11,Force India,0 days 00:01:27.928000,0 days 00:00:27.953000,0 days 00:00:35.803000,0 days 00:00:24.172000,True,False,True
909,2018,British Grand Prix,SAI,55,Renault,0 days 00:01:29.154000,0 days 00:00:28.256000,0 days 00:00:36.393000,0 days 00:00:24.505000,True,False,True
911,2018,British Grand Prix,SAI,55,Renault,0 days 00:01:28.819000,0 days 00:00:28.321000,0 days 00:00:36.027000,0 days 00:00:24.471000,True,False,True
914,2018,British Grand Prix,SAI,55,Renault,0 days 00:01:28.456000,0 days 00:00:28.250000,0 days 00:00:35.920000,0 days 00:00:24.286000,True,False,True
930,2018,British Grand Prix,SIR,35,Williams,0 days 00:01:29.252000,0 days 00:00:28.316000,0 days 00:00:36.278000,0 days 00:00:24.658000,True,False,True
970,2018,Belgian Grand Prix,OCO,31,Racing Point,0 days 00:01:44.003000,0 days 00:00:30.332000,0 days 00:00:45.238000,0 days 00:00:28.433000,True,False,True
973,2018,Belgian Grand Prix,OCO,31,Racing Point,0 days 00:01:43.766000,0 days 00:00:30.258000,0 days 00:00:45.093000,0 days 00:00:28.415000,True,False,True
976,2018,Belgian Grand Prix,OCO,31,Racing Point,0 days 00:01:43.302000,0 days 00:00:30.154000,0 days 00:00:44.821000,0 days 00:00:28.327000,True,False,True
981,2018,Belgian Grand Prix,OCO,31,Racing Point,0 days 00:02:03.955000,0 days 00:00:33.494000,0 days 00:00:58.040000,0 days 00:00:32.421000,True,False,True
982,2018,Belgian Grand Prix,OCO,31,Racing Point,0 days 00:02:01.851000,0 days 00:00:33.097000,0 days 00:00:56.560000,0 days 00:00:32.194000,True,False,True
985,2018,Belgian Grand Prix,PER,11,Racing Point,0 days 00:01:44.004000,0 days 00:00:30.520000,0 days 00:00:44.995000,0 days 00:00:28.489000,True,False,True
988,2018,Belgian Grand Prix,PER,11,Racing Point,0 days 00:01:43.394000,0 days 00:00:30.195000,0 days 00:00:44.687000,0 days 00:00:28.512000,True,False,True
991,2018,Belgian Grand Prix,PER,11,Racing Point,0 days 00:01:43.014000,0 days 00:00:29.963000,0 days 00:00:44.663000,0 days 00:00:28.388000,True,False,True
996,2018,Belgian Grand Prix,PER,11,Racing Point,0 days 00:02:01.894000,0 days 00:00:33.716000,0 days 00:00:55.773000,0 days 00:00:32.405000,True,False,True
1137,2018,Belgian Grand Prix,HUL,27,Renault,0 days 00:01:44.145000,0 days 00:00:30.687000,0 days 00:00:44.859000,0 days 00:00:28.599000,True,False,True
1140,2018,Belgian Grand Prix,SAI,55,Renault,0 days 00:01:44.489000,0 days 00:00:30.755000,0 days 00:00:44.941000,0 days 00:00:28.793000,True,False,True
1152,2018,Belgian Grand Prix,SIR,35,Williams,0 days 00:01:45.850000,0 days 00:00:31.056000,0 days 00:00:45.614000,0 days 00:00:29.180000,True,False,True
1155,2018,Belgian Grand Prix,SIR,35,Williams,0 days 00:01:44.998000,0 days 00:00:30.824000,0 days 00:00:45.221000,0 days 00:00:28.953000,True,False,True
1158,2018,Belgian Grand Prix,STR,18,Williams,0 days 00:01:45.593000,0 days 00:00:30.665000,0 days 00:00:45.942000,0 days 00:00:28.986000,True,False,True
1161,2018,Belgian Grand Prix,STR,18,Williams,0 days 00:01:45.134000,0 days 00:00:30.732000,0 days 00:00:45.650000,0 days 00:00:28.752000,True,False,True
1319,2018,Spanish Grand Prix,SAI,55,Renault,0 days 00:01:32.780000,0 days 00:00:22.979000,0 days 00:00:33.239000,0 days 00:00:36.562000,True,False,True
1320,2018,Spanish Grand Prix,SAI,55,Renault,0 days 00:01:18.310000,0 days 00:00:22.064000,0 days 00:00:29.197000,0 days 00:00:27.049000,True,False,True
1324,2018,Spanish Grand Prix,SAI,55,Renault,0 days 00:01:17.803000,0 days 00:00:22.024000,0 days 00:00:29.098000,0 days 00:00:26.681000,True,False,True
1327,2018,Spanish Grand Prix,SAI,55,Renault,0 days 00:01:29.157000,0 days 00:00:23.355000,0 days 00:00:35.259000,0 days 00:00:30.543000,True,False,True
1328,2018,Spanish Grand Prix,SAI,55,Renault,0 days 00:01:18.450000,0 days 00:00:22.090000,0 days 00:00:29.169000,0 days 00:00:27.191000,True,False,True
1331,2018,Spanish Grand Prix,SAI,55,Renault,0 days 00:01:17.790000,0 days 00:00:21.990000,0 days 00:00:29.074000,0 days 00:00:26.726000,True,False,True
1404,2018,Spanish Grand Prix,OCO,31,Force India,0 days 00:01:34.894000,0 days 00:00:25.007000,0 days 00:00:35.762000,0 days 00:00:34.125000,True,False,True
1405,2018,Spanish Grand Prix,OCO,31,Force India,0 days 00:01:18.696000,0 days 00:00:22.025000,0 days 00:00:29.643000,0 days 00:00:27.028000,True,False,True
1434,2018,Spanish Grand Prix,PER,11,Force India,0 days 00:01:18.740000,0 days 00:00:22.070000,0 days 00:00:29.564000,0 days 00:00:27.106000,True,False,True
1437,2018,Spanish Grand Prix,PER,11,Force India,0 days 00:01:33.468000,0 days 00:00:26.543000,0 days 00:00:34.570000,0 days 00:00:32.355000,True,False,True
1438,2018,Spanish Grand Prix,PER,11,Force India,0 days 00:01:19.163000,0 days 00:00:22.027000,0 days 00:00:29.741000,0 days 00:00:27.395000,True,False,True
1442,2018,Spanish Grand Prix,PER,11,Force India,0 days 00:01:19.098000,0 days 00:00:22.087000,0 days 00:00:29.823000,0 days 00:00:27.188000,True,False,True
1575,2018,Singapore Grand Prix,PER,11,Racing Point,0 days 00:01:39.119000,0 days 00:00:27.095000,0 days 00:00:38.098000,0 days 00:00:33.926000,True,False,True
1580,2018,Singapore Grand Prix,PER,11,Racing Point,0 days 00:01:38.814000,0 days 00:00:27.015000,0 days 00:00:37.959000,0 days 00:00:33.840000,True,False,True
1583,2018,Singapore Grand Prix,PER,11,Racing Point,0 days 00:01:38.342000,0 days 00:00:26.855000,0 days 00:00:37.805000,0 days 00:00:33.682000,True,False,True
1588,2018,Singapore Grand Prix,PER,11,Racing Point,0 days 00:01:39.204000,0 days 00:00:27.184000,0 days 00:00:38.179000,0 days 00:00:33.841000,True,False,True
1591,2018,Singapore Grand Prix,PER,11,Racing Point,0 days 00:01:37.985000,0 days 00:00:26.806000,0 days 00:00:37.724000,0 days 00:00:33.455000,True,False,True
1609,2018,Singapore Grand Prix,OCO,31,Racing Point,0 days 00:01:38.912000,0 days 00:00:27.024000,0 days 00:00:38.134000,0 days 00:00:33.754000,True,False,True
1617,2018,Singapore Grand Prix,OCO,31,Racing Point,0 days 00:01:38.681000,0 days 00:00:26.861000,0 days 00:00:38.038000,0 days 00:00:33.782000,True,False,True
1620,2018,Singapore Grand Prix,OCO,31,Racing Point,0 days 00:01:38.534000,0 days 00:00:26.853000,0 days 00:00:38.035000,0 days 00:00:33.646000,True,False,True
1623,2018,Singapore Grand Prix,OCO,31,Racing Point,0 days 00:01:39.157000,0 days 00:00:27.090000,0 days 00:00:38.331000,0 days 00:00:33.736000,True,False,True
1626,2018,Singapore Grand Prix,OCO,31,Racing Point,0 days 00:01:38.365000,0 days 00:00:26.864000,0 days 00:00:37.867000,0 days 00:00:33.634000,True,False,True
