race_id,gp_year,gp_name,gp_round,driver_name,constructor,is_williams,start_position,final_position,grid_delta
1001,2018,Belgian Grand Prix,13,Sergio Pérez,Force India,False,4,5,1
938,2015,Italian Grand Prix,12,Sergio Pérez,Force India,False,7,6,-1
957,2016,British Grand Prix,10,Sergio Pérez,Force India,False,10,6,-4
963,2016,Malaysian Grand Prix,16,Sergio Pérez,Force India,False,7,6,-1
972,2017,Russian Grand Prix,4,Sergio Pérez,Force India,False,9,6,-3
983,2017,Malaysian Grand Prix,15,Sergio Pérez,Force India,False,9,6,-3
1013,2019,Azerbaijan Grand Prix,4,Sergio Pérez,Racing Point,False,5,6,1
1022,2019,Belgian Grand Prix,13,Sergio Pérez,Racing Point,False,7,6,-1
931,2015,Monaco Grand Prix,6,Sergio Pérez,Force India,False,7,7,0
939,2015,Singapore Grand Prix,13,Sergio Pérez,Force India,False,13,7,-6
952,2016,Spanish Grand Prix,5,Sergio Pérez,Force India,False,9,7,-2
964,2016,Japanese Grand Prix,17,Sergio Pérez,Force India,False,5,7,2
969,2017,Australian Grand Prix,1,Sergio Pérez,Force India,False,10,7,-3
971,2017,Bahrain Grand Prix,3,Sergio Pérez,Force India,False,18,7,-11
977,2017,Austrian Grand Prix,9,Sergio Pérez,Force India,False,7,7,0
984,2017,Japanese Grand Prix,16,Sergio Pérez,Force India,False,7,7,0
986,2017,Mexican Grand Prix,18,Sergio Pérez,Force India,False,9,7,-2
988,2017,Abu Dhabi Grand Prix,20,Sergio Pérez,Force India,False,8,7,-1
997,2018,Austrian Grand Prix,9,Sergio Pérez,Force India,False,16,7,-9
999,2018,German Grand Prix,11,Sergio Pérez,Force India,False,10,7,-3
1002,2018,Italian Grand Prix,14,Sergio Pérez,Force India,False,14,7,-7
1005,2018,Japanese Grand Prix,17,Sergio Pérez,Force India,False,9,7,-2
1023,2019,Italian Grand Prix,14,Sergio Pérez,Racing Point,False,18,7,-11
1025,2019,Russian Grand Prix,16,Sergio Pérez,Racing Point,False,11,7,-4
1027,2019,Mexican Grand Prix,18,Sergio Pérez,Racing Point,False,11,7,-4
1030,2019,Abu Dhabi Grand Prix,21,Sergio Pérez,Racing Point,False,10,7,-3
929,2015,Bahrain Grand Prix,4,Sergio Pérez,Force India,False,11,8,-3
943,2015,Mexican Grand Prix,17,Sergio Pérez,Force India,False,9,8,-1
961,2016,Italian Grand Prix,14,Sergio Pérez,Force India,False,8,8,0
962,2016,Singapore Grand Prix,15,Sergio Pérez,Force India,False,17,8,-9
965,2016,United States Grand Prix,18,Sergio Pérez,Force India,False,11,8,-3
968,2016,Abu Dhabi Grand Prix,21,Sergio Pérez,Force India,False,8,8,0
979,2017,Hungarian Grand Prix,11,Sergio Pérez,Force India,False,13,8,-5
985,2017,United States Grand Prix,17,Sergio Pérez,Force India,False,9,8,-1
1006,2018,United States Grand Prix,18,Sergio Pérez,Force India,False,10,8,-2
1009,2018,Abu Dhabi Grand Prix,21,Sergio Pérez,Force India,False,14,8,-6
1012,2019,Chinese Grand Prix,3,Sergio Pérez,Racing Point,False,12,8,-4
1026,2019,Japanese Grand Prix,17,Sergio Pérez,Racing Point,False,17,8,-9
933,2015,Austrian Grand Prix,8,Sergio Pérez,Force India,False,13,9,-4
934,2015,British Grand Prix,9,Sergio Pérez,Force India,False,11,9,-2
951,2016,Russian Grand Prix,4,Sergio Pérez,Force India,False,6,9,3
970,2017,Chinese Grand Prix,2,Sergio Pérez,Force India,False,8,9,1
978,2017,British Grand Prix,10,Sergio Pérez,Force India,False,6,9,3
981,2017,Italian Grand Prix,13,Sergio Pérez,Force India,False,10,9,-1
987,2017,Brazilian Grand Prix,19,Sergio Pérez,Force India,False,5,9,4
993,2018,Spanish Grand Prix,5,Sergio Pérez,Force India,False,15,9,-6
1029,2019,Brazilian Grand Prix,20,Sergio Pérez,Racing Point,False,15,9,-6
977,2017,Austrian Grand Prix,9,Lance Stroll,Williams,True,18,10,-8
1022,2019,Belgian Grand Prix,13,Lance Stroll,Racing Point,False,16,10,-6
972,2017,Russian Grand Prix,4,Lance Stroll,Williams,True,11,11,0
980,2017,Belgian Grand Prix,12,Lance Stroll,Williams,True,15,11,-4
985,2017,United States Grand Prix,17,Lance Stroll,Williams,True,15,11,-4
993,2018,Spanish Grand Prix,5,Lance Stroll,Williams,True,18,11,-7
1025,2019,Russian Grand Prix,16,Lance Stroll,Racing Point,False,14,11,-3
998,2018,British Grand Prix,10,Lance Stroll,Williams,True,19,12,-7
1007,2018,Mexican Grand Prix,19,Lance Stroll,Williams,True,17,12,-5
1012,2019,Chinese Grand Prix,3,Lance Stroll,Racing Point,False,16,12,-4
1023,2019,Italian Grand Prix,14,Lance Stroll,Racing Point,False,9,12,3
1027,2019,Mexican Grand Prix,18,Lance Stroll,Racing Point,False,16,12,-4
1001,2018,Belgian Grand Prix,13,Lance Stroll,Williams,True,17,13,-4
1009,2018,Abu Dhabi Grand Prix,21,Lance Stroll,Williams,True,20,13,-7
1017,2019,French Grand Prix,8,Lance Stroll,Racing Point,False,17,13,-4
1019,2019,British Grand Prix,10,Lance Stroll,Racing Point,False,18,13,-5
1024,2019,Singapore Grand Prix,15,Lance Stroll,Racing Point,False,16,13,-3
1028,2019,United States Grand Prix,19,Lance Stroll,Racing Point,False,14,13,-1
979,2017,Hungarian Grand Prix,11,Lance Stroll,Williams,True,17,14,-3
989,2018,Australian Grand Prix,1,Lance Stroll,Williams,True,13,14,1
990,2018,Bahrain Grand Prix,2,Lance Stroll,Williams,True,20,14,-6
991,2018,Chinese Grand Prix,3,Lance Stroll,Williams,True,18,14,-4
997,2018,Austrian Grand Prix,9,Lance Stroll,Williams,True,14,14,0
1003,2018,Singapore Grand Prix,15,Lance Stroll,Williams,True,20,14,-6
1006,2018,United States Grand Prix,18,Lance Stroll,Williams,True,15,14,-1
1011,2019,Bahrain Grand Prix,2,Lance Stroll,Racing Point,False,18,14,-4
1018,2019,Austrian Grand Prix,9,Lance Stroll,Racing Point,False,14,14,0
974,2017,Monaco Grand Prix,6,Lance Stroll,Williams,True,17,15,-2
1004,2018,Russian Grand Prix,16,Lance Stroll,Williams,True,14,15,1
973,2017,Spanish Grand Prix,5,Lance Stroll,Williams,True,18,16,-2
978,2017,British Grand Prix,10,Lance Stroll,Williams,True,15,16,1
987,2017,Brazilian Grand Prix,19,Lance Stroll,Williams,True,16,16,0
1015,2019,Monaco Grand Prix,6,Lance Stroll,Racing Point,False,17,16,-1
994,2018,Monaco Grand Prix,6,Lance Stroll,Williams,True,17,17,0
996,2018,French Grand Prix,8,Lance Stroll,Williams,True,19,17,-2
1000,2018,Hungarian Grand Prix,12,Lance Stroll,Williams,True,15,17,2
1005,2018,Japanese Grand Prix,17,Lance Stroll,Williams,True,14,17,3
1021,2019,Hungarian Grand Prix,12,Lance Stroll,Racing Point,False,18,17,-1
988,2017,Abu Dhabi Grand Prix,20,Lance Stroll,Williams,True,15,18,3
1008,2018,Brazilian Grand Prix,20,Lance Stroll,Williams,True,19,18,-1
1029,2019,Brazilian Grand Prix,20,Lance Stroll,Racing Point,False,17,19,2
976,2017,Azerbaijan Grand Prix,8,Lance Stroll,Williams,True,8,3,-5
1020,2019,German Grand Prix,11,Lance Stroll,Racing Point,False,15,4,-11
986,2017,Mexican Grand Prix,18,Lance Stroll,Williams,True,11,6,-5
981,2017,Italian Grand Prix,13,Lance Stroll,Williams,True,2,7,5
982,2017,Singapore Grand Prix,14,Lance Stroll,Williams,True,18,8,-10
983,2017,Malaysian Grand Prix,15,Lance Stroll,Williams,True,13,8,-5
992,2018,Azerbaijan Grand Prix,4,Lance Stroll,Williams,True,10,8,-2
975,2017,Canadian Grand Prix,7,Lance Stroll,Williams,True,17,9,-8
1002,2018,Italian Grand Prix,14,Lance Stroll,Williams,True,10,9,-1
1010,2019,Australian Grand Prix,1,Lance Stroll,Racing Point,False,16,9,-7
1013,2019,Azerbaijan Grand Prix,4,Lance Stroll,Racing Point,False,13,9,-4
1016,2019,Canadian Grand Prix,7,Lance Stroll,Racing Point,False,17,9,-8
1026,2019,Japanese Grand Prix,17,Lance Stroll,Racing Point,False,12,9,-3
929,2015,Bahrain Grand Prix,4,Felipe Massa,Williams,True,6,10,4
953,2016,Monaco Grand Prix,6,Felipe Massa,Williams,True,14,10,-4
955,2016,European Grand Prix,8,Felipe Massa,Williams,True,5,10,5
960,2016,Belgian Grand Prix,13,Felipe Massa,Williams,True,10,10,0
978,2017,British Grand Prix,10,Felipe Massa,Williams,True,14,10,-4
984,2017,Japanese Grand Prix,16,Felipe Massa,Williams,True,8,10,2
988,2017,Abu Dhabi Grand Prix,20,Felipe Massa,Williams,True,10,10,0
957,2016,British Grand Prix,10,Felipe Massa,Williams,True,12,11,-1
982,2017,Singapore Grand Prix,14,Felipe Massa,Williams,True,17,11,-6
986,2017,Mexican Grand Prix,18,Felipe Massa,Williams,True,10,11,1
936,2015,Hungarian Grand Prix,10,Felipe Massa,Williams,True,8,12,4
962,2016,Singapore Grand Prix,15,Felipe Massa,Williams,True,11,12,1
963,2016,Malaysian Grand Prix,16,Felipe Massa,Williams,True,10,13,3
973,2017,Spanish Grand Prix,5,Felipe Massa,Williams,True,9,13,4
970,2017,Chinese Grand Prix,2,Felipe Massa,Williams,True,6,14,8
931,2015,Monaco Grand Prix,6,Felipe Massa,Williams,True,12,15,3
940,2015,Japanese Grand Prix,14,Felipe Massa,Williams,True,5,17,12
958,2016,Hungarian Grand Prix,11,Felipe Massa,Williams,True,18,18,0
933,2015,Austrian Grand Prix,8,Felipe Massa,Williams,True,4,3,-1
938,2015,Italian Grand Prix,12,Felipe Massa,Williams,True,5,3,-2
926,2015,Australian Grand Prix,1,Felipe Massa,Williams,True,3,4,1
934,2015,British Grand Prix,9,Felipe Massa,Williams,True,3,4,1
941,2015,Russian Grand Prix,15,Felipe Massa,Williams,True,15,4,-11
928,2015,Chinese Grand Prix,3,Felipe Massa,Williams,True,4,5,1
948,2016,Australian Grand Prix,1,Felipe Massa,Williams,True,6,5,-1
951,2016,Russian Grand Prix,4,Felipe Massa,Williams,True,4,5,1
927,2015,Malaysian Grand Prix,2,Felipe Massa,Williams,True,7,6,-1
930,2015,Spanish Grand Prix,5,Felipe Massa,Williams,True,9,6,-3
932,2015,Canadian Grand Prix,7,Felipe Massa,Williams,True,15,6,-9
937,2015,Belgian Grand Prix,11,Felipe Massa,Williams,True,6,6,0
943,2015,Mexican Grand Prix,17,Felipe Massa,Williams,True,7,6,-1
950,2016,Chinese Grand Prix,3,Felipe Massa,Williams,True,10,6,-4
969,2017,Australian Grand Prix,1,Felipe Massa,Williams,True,7,6,-1
971,2017,Bahrain Grand Prix,3,Felipe Massa,Williams,True,8,6,-2
965,2016,United States Grand Prix,18,Felipe Massa,Williams,True,9,7,-2
987,2017,Brazilian Grand Prix,19,Felipe Massa,Williams,True,9,7,-2
945,2015,Abu Dhabi Grand Prix,19,Felipe Massa,Williams,True,8,8,0
949,2016,Bahrain Grand Prix,2,Felipe Massa,Williams,True,7,8,1
952,2016,Spanish Grand Prix,5,Felipe Massa,Williams,True,18,8,-10
980,2017,Belgian Grand Prix,12,Felipe Massa,Williams,True,16,8,-8
981,2017,Italian Grand Prix,13,Felipe Massa,Williams,True,7,8,1
961,2016,Italian Grand Prix,14,Felipe Massa,Williams,True,11,9,-2
964,2016,Japanese Grand Prix,17,Felipe Massa,Williams,True,12,9,-3
966,2016,Mexican Grand Prix,19,Felipe Massa,Williams,True,9,9,0
968,2016,Abu Dhabi Grand Prix,21,Felipe Massa,Williams,True,10,9,-1
972,2017,Russian Grand Prix,4,Felipe Massa,Williams,True,6,9,3
974,2017,Monaco Grand Prix,6,Felipe Massa,Williams,True,14,9,-5
977,2017,Austrian Grand Prix,9,Felipe Massa,Williams,True,17,9,-8
983,2017,Malaysian Grand Prix,15,Felipe Massa,Williams,True,11,9,-2
985,2017,United States Grand Prix,17,Felipe Massa,Williams,True,10,9,-1
962,2016,Singapore Grand Prix,15,Kevin Magnussen,Renault,False,15,10,-5
974,2017,Monaco Grand Prix,6,Kevin Magnussen,Haas F1 Team,False,11,10,-1
991,2018,Chinese Grand Prix,3,Kevin Magnussen,Haas F1 Team,False,11,10,-1
1009,2018,Abu Dhabi Grand Prix,21,Kevin Magnussen,Haas F1 Team,False,13,10,-3
949,2016,Bahrain Grand Prix,2,Kevin Magnussen,Renault,False,22,11,-11
981,2017,Italian Grand Prix,13,Kevin Magnussen,Haas F1 Team,False,9,11,2
999,2018,German Grand Prix,11,Kevin Magnussen,Haas F1 Team,False,5,11,6
1029,2019,Brazilian Grand Prix,20,Kevin Magnussen,Haas F1 Team,False,9,11,2
948,2016,Australian Grand Prix,1,Kevin Magnussen,Renault,False,14,12,-2
965,2016,United States Grand Prix,18,Kevin Magnussen,Renault,False,18,12,-6
975,2017,Canadian Grand Prix,7,Kevin Magnussen,Haas F1 Team,False,18,12,-6
978,2017,British Grand Prix,10,Kevin Magnussen,Haas F1 Team,False,16,12,-4
983,2017,Malaysian Grand Prix,15,Kevin Magnussen,Haas F1 Team,False,17,12,-5
1022,2019,Belgian Grand Prix,13,Kevin Magnussen,Haas F1 Team,False,8,12,4
972,2017,Russian Grand Prix,4,Kevin Magnussen,Haas F1 Team,False,13,13,0
979,2017,Hungarian Grand Prix,11,Kevin Magnussen,Haas F1 Team,False,15,13,-2
988,2017,Abu Dhabi Grand Prix,20,Kevin Magnussen,Haas F1 Team,False,14,13,-1
992,2018,Azerbaijan Grand Prix,4,Kevin Magnussen,Haas F1 Team,False,15,13,-2
994,2018,Monaco Grand Prix,6,Kevin Magnussen,Haas F1 Team,False,19,13,-6
995,2018,Canadian Grand Prix,7,Kevin Magnussen,Haas F1 Team,False,11,13,2
1011,2019,Bahrain Grand Prix,2,Kevin Magnussen,Haas F1 Team,False,6,13,7
1012,2019,Chinese Grand Prix,3,Kevin Magnussen,Haas F1 Team,False,9,13,4
1013,2019,Azerbaijan Grand Prix,4,Kevin Magnussen,Haas F1 Team,False,12,13,1
1021,2019,Hungarian Grand Prix,12,Kevin Magnussen,Haas F1 Team,False,14,13,-1
952,2016,Spanish Grand Prix,5,Kevin Magnussen,Renault,False,15,14,-1
955,2016,European Grand Prix,8,Kevin Magnussen,Renault,False,22,14,-8
956,2016,Austrian Grand Prix,9,Kevin Magnussen,Renault,False,17,14,-3
