,gp_year,gp_name,gp_round,driver_name,rookie_or_experienced,laptime_std,laptime_std_ms
21,2016,Austrian Grand Prix,9,Valtteri Bottas,experienced,00:00.846,846.4138267429678
22,2016,Belgian Grand Prix,13,Felipe Massa,experienced,00:01.035,1035.259221384762
23,2016,Belgian Grand Prix,13,Valtteri Bottas,experienced,00:01.054,1054.105736727434
24,2016,Brazilian Grand Prix,20,Felipe Massa,experienced,00:11.942,11942.447217438748
25,2016,Brazilian Grand Prix,20,Valtteri Bottas,experienced,00:03.829,3829.8463158856985
26,2016,British Grand Prix,10,Felipe Massa,experienced,00:02.112,2112.059675192104
27,2016,British Grand Prix,10,Valtteri Bottas,experienced,00:01.761,1761.0094998804934
28,2016,Hungarian Grand Prix,11,Felipe Massa,experienced,00:01.219,1219.102769063576
29,2016,Hungarian Grand Prix,11,Valtteri Bottas,experienced,00:01.076,1076.5615916453908
30,2016,Italian Grand Prix,14,Felipe Massa,experienced,00:00.917,917.627804063709
31,2016,Italian Grand Prix,14,Valtteri Bottas,experienced,00:01.006,1006.7733903872521
32,2016,Japanese Grand Prix,17,Felipe Massa,experienced,00:01.243,1243.4218216947406
33,2016,Japanese Grand Prix,17,Valtteri Bottas,experienced,00:01.112,1112.9363475623718
34,2016,Monaco Grand Prix,6,Felipe Massa,experienced,00:04.083,4083.7138082439005
35,2016,Monaco Grand Prix,6,Valtteri Bottas,experienced,00:05.934,5934.634359313251
36,2016,Singapore Grand Prix,15,Felipe Massa,experienced,00:00.978,978.3526036757593
37,2016,Singapore Grand Prix,15,Valtteri Bottas,experienced,00:02.390,2390.4693873015017
38,2016,Spanish Grand Prix,5,Felipe Massa,experienced,00:01.347,1347.6712988950974
39,2016,Spanish Grand Prix,5,Valtteri Bottas,experienced,00:01.218,1218.9495408178682
40,2017,Austrian Grand Prix,9,Felipe Massa,experienced,00:00.921,921.966629655554
41,2017,Austrian Grand Prix,9,Lance Stroll,rookie,00:01.041,1041.799981308101
42,2017,Austrian Grand Prix,9,Valtteri Bottas,experienced,00:00.659,659.3643177298259
43,2017,Belgian Grand Prix,12,Felipe Massa,experienced,00:01.687,1687.7816392714644
44,2017,Belgian Grand Prix,12,Lance Stroll,rookie,00:01.527,1527.647794415917
45,2017,Belgian Grand Prix,12,Valtteri Bottas,experienced,00:01.571,1571.805518200178
46,2017,Brazilian Grand Prix,19,Felipe Massa,experienced,00:00.573,573.3612930526753
47,2017,Brazilian Grand Prix,19,Lance Stroll,rookie,00:00.947,947.4642494336108
48,2017,Brazilian Grand Prix,19,Valtteri Bottas,experienced,00:00.513,513.0347916278602
49,2017,British Grand Prix,10,Felipe Massa,experienced,00:01.131,1131.6047526241741
50,2017,British Grand Prix,10,Lance Stroll,rookie,00:01.179,1179.0346167006476
51,2017,British Grand Prix,10,Valtteri Bottas,experienced,00:01.271,1271.9657609784392
52,2017,Hungarian Grand Prix,11,Lance Stroll,rookie,00:01.210,1210.6424756551385
53,2017,Hungarian Grand Prix,11,Valtteri Bottas,experienced,00:00.814,814.0112561560752
54,2017,Italian Grand Prix,13,Felipe Massa,experienced,00:00.871,871.7368140334361
55,2017,Italian Grand Prix,13,Lance Stroll,rookie,00:00.831,831.7328917009764
56,2017,Italian Grand Prix,13,Valtteri Bottas,experienced,00:00.747,747.1738381995104
57,2017,Japanese Grand Prix,16,Felipe Massa,experienced,00:01.086,1086.853963223091
58,2017,Japanese Grand Prix,16,Lance Stroll,rookie,00:01.317,1317.4241566057603
59,2017,Japanese Grand Prix,16,Valtteri Bottas,experienced,00:01.497,1497.5025161443134
60,2017,Monaco Grand Prix,6,Felipe Massa,experienced,00:01.083,1083.6758921226442
61,2017,Monaco Grand Prix,6,Lance Stroll,rookie,00:00.963,963.3448435275565
62,2017,Monaco Grand Prix,6,Valtteri Bottas,experienced,00:00.636,636.0109816602238
63,2017,Singapore Grand Prix,14,Felipe Massa,experienced,00:05.985,5985.282944808183
64,2017,Singapore Grand Prix,14,Lance Stroll,rookie,00:08.018,8018.923804382227
65,2017,Singapore Grand Prix,14,Valtteri Bottas,experienced,00:08.155,8155.828494425807
66,2017,Spanish Grand Prix,5,Felipe Massa,experienced,00:01.019,1019.2506749048581
67,2017,Spanish Grand Prix,5,Lance Stroll,rookie,00:01.364,1364.9767854366019
68,2017,Spanish Grand Prix,5,Valtteri Bottas,experienced,00:00.994,994.958726247214
69,2018,Austrian Grand Prix,9,Lance Stroll,rookie,00:00.887,887.1859325114254
70,2018,Austrian Grand Prix,9,Sergey Sirotkin,rookie,00:00.997,997.6801235675505
71,2018,Austrian Grand Prix,9,Valtteri Bottas,experienced,00:00.324,324.0113517465204
72,2018,Belgian Grand Prix,13,Lance Stroll,rookie,00:01.556,1556.4696414211664
73,2018,Belgian Grand Prix,13,Sergey Sirotkin,rookie,00:01.484,1484.6028711146103
74,2018,Belgian Grand Prix,13,Valtteri Bottas,experienced,00:02.072,2072.6353897488425
75,2018,Brazilian Grand Prix,20,Lance Stroll,rookie,00:01.164,1164.43202863402
76,2018,Brazilian Grand Prix,20,Sergey Sirotkin,rookie,00:00.990,990.8948328137434
77,2018,Brazilian Grand Prix,20,Valtteri Bottas,experienced,00:01.306,1306.5765170606894
78,2018,British Grand Prix,10,Lance Stroll,rookie,00:01.321,1321.5504901537254
79,2018,British Grand Prix,10,Sergey Sirotkin,rookie,00:01.197,1197.291500304543
80,2018,British Grand Prix,10,Valtteri Bottas,experienced,00:00.928,928.9257850141979
81,2018,Hungarian Grand Prix,12,Lance Stroll,rookie,00:01.469,1469.8901852458362
82,2018,Hungarian Grand Prix,12,Sergey Sirotkin,rookie,00:01.089,1089.9493836808115
83,2018,Hungarian Grand Prix,12,Valtteri Bottas,experienced,00:00.955,955.6368271329957
84,2018,Italian Grand Prix,14,Lance Stroll,rookie,00:01.063,1063.9833573243159
85,2018,Italian Grand Prix,14,Sergey Sirotkin,rookie,00:01.089,1089.196209383535
86,2018,Italian Grand Prix,14,Valtteri Bottas,experienced,00:01.163,1163.2649454588277
87,2018,Japanese Grand Prix,17,Lance Stroll,rookie,00:01.870,1870.0153602776718
88,2018,Japanese Grand Prix,17,Sergey Sirotkin,rookie,00:01.752,1752.9448348651408
89,2018,Japanese Grand Prix,17,Valtteri Bottas,experienced,00:00.818,818.8877923538939
90,2018,Monaco Grand Prix,6,Lance Stroll,rookie,00:01.753,1753.0481628595771
91,2018,Monaco Grand Prix,6,Sergey Sirotkin,rookie,00:01.497,1497.7016805123424
92,2018,Monaco Grand Prix,6,Valtteri Bottas,experienced,00:00.879,879.6555421441319
93,2018,Singapore Grand Prix,15,Lance Stroll,rookie,00:01.529,1529.4842013183413
94,2018,Singapore Grand Prix,15,Sergey Sirotkin,rookie,00:01.890,1890.052529666293
95,2018,Singapore Grand Prix,15,Valtteri Bottas,experienced,00:00.976,976.6541496077921
96,2018,Spanish Grand Prix,5,Lance Stroll,rookie,00:01.169,1169.4358107158425
97,2018,Spanish Grand Prix,5,Sergey Sirotkin,rookie,00:01.363,1363.0040553505253
98,2018,Spanish Grand Prix,5,Valtteri Bottas,experienced,00:01.062,1062.8295794304356
99,2019,Austrian Grand Prix,9,George Russell,rookie,00:01.033,1033.7614138605466
100,2019,Austrian Grand Prix,9,Lance Stroll,rookie,00:00.843,843.286611902843
101,2019,Austrian Grand Prix,9,Robert Kubica,experienced,00:00.860,860.3488955739839
102,2019,Austrian Grand Prix,9,Valtteri Bottas,experienced,00:00.406,406.8161187534344
103,2019,Belgian Grand Prix,13,George Russell,rookie,00:01.710,1710.7003088053016
104,2019,Belgian Grand Prix,13,Lance Stroll,rookie,00:01.751,1751.1799224838035
105,2019,Belgian Grand Prix,13,Robert Kubica,experienced,00:01.587,1587.626796495394
106,2019,Belgian Grand Prix,13,Valtteri Bottas,experienced,00:01.587,1587.1955993025392
107,2019,Brazilian Grand Prix,20,George Russell,rookie,00:01.215,1215.6760259213922
108,2019,Brazilian Grand Prix,20,Lance Stroll,rookie,00:00.884,884.8340242695533
109,2019,Brazilian Grand Prix,20,Robert Kubica,experienced,00:00.975,975.9960080821041
110,2019,Brazilian Grand Prix,20,Valtteri Bottas,experienced,00:00.949,949.3515022085406
111,2019,British Grand Prix,10,George Russell,rookie,00:01.061,1061.8129706031432
112,2019,British Grand Prix,10,Lance Stroll,rookie,00:01.489,1489.0286247935373
113,2019,British Grand Prix,10,Robert Kubica,experienced,00:01.062,1062.7805543776462
114,2019,British Grand Prix,10,Valtteri Bottas,experienced,00:01.203,1203.0096993436641
115,2019,Hungarian Grand Prix,12,George Russell,rookie,00:01.206,1206.4195859026086
116,2019,Hungarian Grand Prix,12,Lance Stroll,rookie,00:01.355,1355.757128983082
117,2019,Hungarian Grand Prix,12,Robert Kubica,experienced,00:01.034,1034.7174206637285
118,2019,Hungarian Grand Prix,12,Valtteri Bottas,experienced,00:01.572,1572.942174746472
119,2019,Italian Grand Prix,14,George Russell,rookie,00:01.451,1451.1850232245326
120,2019,Italian Grand Prix,14,Lance Stroll,rookie,00:01.021,1021.7728230398119
121,2019,Italian Grand Prix,14,Robert Kubica,experienced,00:01.172,1172.366445625389
122,2019,Italian Grand Prix,14,Valtteri Bottas,experienced,00:01.066,1066.7142012155005
123,2019,Japanese Grand Prix,17,George Russell,rookie,00:01.239,1239.6395479237494
124,2019,Japanese Grand Prix,17,Lance Stroll,rookie,00:00.802,802.0991093951644
125,2019,Japanese Grand Prix,17,Robert Kubica,experienced,00:01.557,1557.3061729116491
126,2019,Japanese Grand Prix,17,Valtteri Bottas,experienced,00:01.016,1016.9185948596984
127,2019,Monaco Grand Prix,6,George Russell,rookie,00:01.430,1430.257036676755
128,2019,Monaco Grand Prix,6,Lance Stroll,rookie,00:01.277,1277.4148097375976
129,2019,Monaco Grand Prix,6,Robert Kubica,experienced,00:01.190,1190.7946889981313
130,2019,Monaco Grand Prix,6,Valtteri Bottas,experienced,00:00.931,931.4614116036836
131,2019,Singapore Grand Prix,15,George Russell,rookie,00:00.642,642.8963248268007
132,2019,Singapore Grand Prix,15,Lance Stroll,rookie,00:01.967,1967.2901798389637
133,2019,Singapore Grand Prix,15,Robert Kubica,experienced,00:02.274,2274.4239662722
134,2019,Singapore Grand Prix,15,Valtteri Bottas,experienced,00:01.822,1822.0051000650656
135,2019,Spanish Grand Prix,5,George Russell,rookie,00:01.670,1670.7811393430331
136,2019,Spanish Grand Prix,5,Lance Stroll,rookie,00:01.037,1037.0049778288467
137,2019,Spanish Grand Prix,5,Robert Kubica,experienced,00:01.526,1526.991133595054
138,2019,Spanish Grand Prix,5,Valtteri Bottas,experienced,00:01.239,1239.562679481615
