,race_id,gp_year,gp_name,gp_round,driver_id,driver_name,rookie_or_experienced,lap_number,lap_time,lap_time_ms,median_lap_time_ms,max_lap_time_ms
119,927,2015,Malaysian Grand Prix,2,822,Valtteri Bottas,experienced,22,1:48.080,108080,107005.5,112355.77500000001
120,927,2015,Malaysian Grand Prix,2,822,Valtteri Bottas,experienced,23,1:48.304,108304,107005.5,112355.77500000001
121,927,2015,Malaysian Grand Prix,2,822,Valtteri Bottas,experienced,24,1:49.205,109205,107005.5,112355.77500000001
122,927,2015,Malaysian Grand Prix,2,822,Valtteri Bottas,experienced,27,1:45.195,105195,107005.5,112355.77500000001
123,927,2015,Malaysian Grand Prix,2,822,Valtteri Bottas,experienced,28,1:45.351,105351,107005.5,112355.77500000001
124,927,2015,Malaysian Grand Prix,2,822,Valtteri Bottas,experienced,29,1:45.389,105389,107005.5,112355.77500000001
125,927,2015,Malaysian Grand Prix,2,822,Valtteri Bottas,experienced,30,1:47.386,107386,107005.5,112355.77500000001
126,927,2015,Malaysian Grand Prix,2,822,Valtteri Bottas,experienced,31,1:45.614,105614,107005.5,112355.77500000001
127,927,2015,Malaysian Grand Prix,2,822,Valtteri Bottas,experienced,32,1:45.923,105923,107005.5,112355.77500000001
128,927,2015,Malaysian Grand Prix,2,822,Valtteri Bottas,experienced,33,1:45.995,105995,107005.5,112355.77500000001
129,927,2015,Malaysian Grand Prix,2,822,Valtteri Bottas,experienced,34,1:46.945,106945,107005.5,112355.77500000001
130,927,2015,Malaysian Grand Prix,2,822,Valtteri Bottas,experienced,35,1:45.233,105233,107005.5,112355.77500000001
131,927,2015,Malaysian Grand Prix,2,822,Valtteri Bottas,experienced,36,1:45.302,105302,107005.5,112355.77500000001
132,927,2015,Malaysian Grand Prix,2,822,Valtteri Bottas,experienced,37,1:45.206,105206,107005.5,112355.77500000001
133,927,2015,Malaysian Grand Prix,2,822,Valtteri Bottas,experienced,38,1:45.320,105320,107005.5,112355.77500000001
134,927,2015,Malaysian Grand Prix,2,822,Valtteri Bottas,experienced,39,1:45.026,105026,107005.5,112355.77500000001
135,927,2015,Malaysian Grand Prix,2,822,Valtteri Bottas,experienced,40,1:49.347,109347,107005.5,112355.77500000001
136,927,2015,Malaysian Grand Prix,2,822,Valtteri Bottas,experienced,42,1:44.088,104088,107005.5,112355.77500000001
137,927,2015,Malaysian Grand Prix,2,822,Valtteri Bottas,experienced,43,1:44.099,104099,107005.5,112355.77500000001
138,927,2015,Malaysian Grand Prix,2,822,Valtteri Bottas,experienced,44,1:44.226,104226,107005.5,112355.77500000001
139,927,2015,Malaysian Grand Prix,2,822,Valtteri Bottas,experienced,45,1:44.384,104384,107005.5,112355.77500000001
140,927,2015,Malaysian Grand Prix,2,822,Valtteri Bottas,experienced,46,1:44.386,104386,107005.5,112355.77500000001
141,927,2015,Malaysian Grand Prix,2,822,Valtteri Bottas,experienced,47,1:44.283,104283,107005.5,112355.77500000001
142,927,2015,Malaysian Grand Prix,2,822,Valtteri Bottas,experienced,48,1:44.523,104523,107005.5,112355.77500000001
143,927,2015,Malaysian Grand Prix,2,822,Valtteri Bottas,experienced,49,1:44.444,104444,107005.5,112355.77500000001
144,927,2015,Malaysian Grand Prix,2,822,Valtteri Bottas,experienced,50,1:44.599,104599,107005.5,112355.77500000001
145,927,2015,Malaysian Grand Prix,2,822,Valtteri Bottas,experienced,51,1:44.767,104767,107005.5,112355.77500000001
146,927,2015,Malaysian Grand Prix,2,822,Valtteri Bottas,experienced,52,1:44.863,104863,107005.5,112355.77500000001
147,927,2015,Malaysian Grand Prix,2,822,Valtteri Bottas,experienced,53,1:45.644,105644,107005.5,112355.77500000001
148,927,2015,Malaysian Grand Prix,2,822,Valtteri Bottas,experienced,54,1:45.787,105787,107005.5,112355.77500000001
149,927,2015,Malaysian Grand Prix,2,822,Valtteri Bottas,experienced,55,1:46.518,106518,107005.5,112355.77500000001
150,927,2015,Malaysian Grand Prix,2,822,Valtteri Bottas,experienced,56,1:46.360,106360,107005.5,112355.77500000001
151,928,2015,Chinese Grand Prix,3,13,Felipe Massa,experienced,1,1:49.426,109426,104857.5,110100.375
152,928,2015,Chinese Grand Prix,3,13,Felipe Massa,experienced,2,1:45.394,105394,104857.5,110100.375
153,928,2015,Chinese Grand Prix,3,13,Felipe Massa,experienced,3,1:45.389,105389,104857.5,110100.375
154,928,2015,Chinese Grand Prix,3,13,Felipe Massa,experienced,4,1:44.870,104870,104857.5,110100.375
155,928,2015,Chinese Grand Prix,3,13,Felipe Massa,experienced,5,1:45.031,105031,104857.5,110100.375
156,928,2015,Chinese Grand Prix,3,13,Felipe Massa,experienced,6,1:44.891,104891,104857.5,110100.375
157,928,2015,Chinese Grand Prix,3,13,Felipe Massa,experienced,7,1:44.760,104760,104857.5,110100.375
158,928,2015,Chinese Grand Prix,3,13,Felipe Massa,experienced,8,1:45.043,105043,104857.5,110100.375
159,928,2015,Chinese Grand Prix,3,13,Felipe Massa,experienced,9,1:45.254,105254,104857.5,110100.375
160,928,2015,Chinese Grand Prix,3,13,Felipe Massa,experienced,10,1:45.516,105516,104857.5,110100.375
161,928,2015,Chinese Grand Prix,3,13,Felipe Massa,experienced,11,1:46.050,106050,104857.5,110100.375
162,928,2015,Chinese Grand Prix,3,13,Felipe Massa,experienced,12,1:45.659,105659,104857.5,110100.375
163,928,2015,Chinese Grand Prix,3,13,Felipe Massa,experienced,15,1:44.275,104275,104857.5,110100.375
164,928,2015,Chinese Grand Prix,3,13,Felipe Massa,experienced,16,1:44.179,104179,104857.5,110100.375
165,928,2015,Chinese Grand Prix,3,13,Felipe Massa,experienced,17,1:45.078,105078,104857.5,110100.375
166,928,2015,Chinese Grand Prix,3,13,Felipe Massa,experienced,18,1:45.003,105003,104857.5,110100.375
167,928,2015,Chinese Grand Prix,3,13,Felipe Massa,experienced,19,1:45.052,105052,104857.5,110100.375
168,928,2015,Chinese Grand Prix,3,13,Felipe Massa,experienced,20,1:44.681,104681,104857.5,110100.375
169,928,2015,Chinese Grand Prix,3,13,Felipe Massa,experienced,21,1:44.592,104592,104857.5,110100.375
170,928,2015,Chinese Grand Prix,3,13,Felipe Massa,experienced,22,1:44.845,104845,104857.5,110100.375
