Id,Year,Race,Driver,DriverNumber,Team,LapTime,Sector1Time,Sector2Time,Sector3Time,IsPersonalBest,Deleted,IsAccurate
4015,2019,British Grand Prix,RUS,63,Williams,0 days 00:01:28.912000,0 days 00:00:28.419000,0 days 00:00:36.393000,0 days 00:00:24.100000,True,False,True
4017,2019,British Grand Prix,RUS,63,Williams,0 days 00:01:27.789000,0 days 00:00:28.178000,0 days 00:00:35.725000,0 days 00:00:23.886000,True,False,True
4024,2019,British Grand Prix,KUB,88,Williams,0 days 00:01:29.521000,0 days 00:00:28.571000,0 days 00:00:36.653000,0 days 00:00:24.297000,True,False,True
4026,2019,British Grand Prix,KUB,88,Williams,0 days 00:01:28.257000,0 days 00:00:28.268000,0 days 00:00:35.993000,0 days 00:00:23.996000,True,False,True
4214,2019,Belgian Grand Prix,RUS,63,Williams,0 days 00:01:47.548000,0 days 00:00:31.465000,0 days 00:00:46.600000,0 days 00:00:29.483000,True,False,True
4536,2019,Spanish Grand Prix,RUS,63,Williams,0 days 00:01:30.939000,0 days 00:00:22.450000,0 days 00:00:29.881000,0 days 00:00:38.608000,True,False,True
4538,2019,Spanish Grand Prix,RUS,63,Williams,0 days 00:01:19.937000,0 days 00:00:22.264000,0 days 00:00:29.775000,0 days 00:00:27.898000,True,False,True
4541,2019,Spanish Grand Prix,RUS,63,Williams,0 days 00:01:19.072000,0 days 00:00:22.113000,0 days 00:00:29.400000,0 days 00:00:27.559000,True,False,True
4544,2019,Spanish Grand Prix,KUB,88,Williams,0 days 00:01:21.860000,0 days 00:00:22.991000,0 days 00:00:30.527000,0 days 00:00:28.342000,True,False,True
4547,2019,Spanish Grand Prix,KUB,88,Williams,0 days 00:01:20.254000,0 days 00:00:22.365000,0 days 00:00:29.726000,0 days 00:00:28.163000,True,False,True
4800,2019,Singapore Grand Prix,RUS,63,Williams,0 days 00:01:40.900000,0 days 00:00:27.522000,0 days 00:00:38.965000,0 days 00:00:34.413000,True,False,True
4802,2019,Singapore Grand Prix,RUS,63,Williams,0 days 00:01:40.867000,0 days 00:00:27.524000,0 days 00:00:38.957000,0 days 00:00:34.386000,True,False,True
4808,2019,Singapore Grand Prix,KUB,88,Williams,0 days 00:01:41.186000,0 days 00:00:27.593000,0 days 00:00:39.054000,0 days 00:00:34.539000,True,False,True
5082,2019,Brazilian Grand Prix,RUS,63,Williams,0 days 00:01:10.688000,0 days 00:00:18.383000,0 days 00:00:36.015000,0 days 00:00:16.290000,True,False,True
5085,2019,Brazilian Grand Prix,RUS,63,Williams,0 days 00:01:10.185000,0 days 00:00:18.093000,0 days 00:00:35.803000,0 days 00:00:16.289000,True,False,True
5088,2019,Brazilian Grand Prix,RUS,63,Williams,0 days 00:01:10.126000,0 days 00:00:18.228000,0 days 00:00:35.669000,0 days 00:00:16.229000,True,False,True
5092,2019,Brazilian Grand Prix,KUB,88,Williams,0 days 00:01:10.751000,0 days 00:00:18.199000,0 days 00:00:36.176000,0 days 00:00:16.376000,True,False,True
5097,2019,Brazilian Grand Prix,KUB,88,Williams,0 days 00:01:10.614000,0 days 00:00:18.229000,0 days 00:00:36.119000,0 days 00:00:16.266000,True,False,True
5356,2019,Hungarian Grand Prix,RUS,63,Williams,0 days 00:01:18.143000,0 days 00:00:28.218000,0 days 00:00:27.656000,0 days 00:00:22.269000,True,False,True
5359,2019,Hungarian Grand Prix,RUS,63,Williams,0 days 00:01:17.460000,0 days 00:00:27.846000,0 days 00:00:27.316000,0 days 00:00:22.298000,True,False,True
5362,2019,Hungarian Grand Prix,RUS,63,Williams,0 days 00:01:17.031000,0 days 00:00:27.827000,0 days 00:00:27.147000,0 days 00:00:22.057000,True,False,True
5386,2019,Hungarian Grand Prix,KUB,88,Williams,0 days 00:01:18.843000,0 days 00:00:28.256000,0 days 00:00:28.060000,0 days 00:00:22.527000,True,False,True
5389,2019,Hungarian Grand Prix,KUB,88,Williams,0 days 00:01:18.420000,0 days 00:00:28.039000,0 days 00:00:27.896000,0 days 00:00:22.485000,True,False,True
5392,2019,Hungarian Grand Prix,KUB,88,Williams,0 days 00:01:18.324000,0 days 00:00:28.026000,0 days 00:00:27.908000,0 days 00:00:22.390000,True,False,True
5686,2019,Austrian Grand Prix,RUS,63,Williams,0 days 00:01:06.726000,0 days 00:00:16.633000,0 days 00:00:29.770000,0 days 00:00:20.323000,True,False,True
5688,2019,Austrian Grand Prix,RUS,63,Williams,0 days 00:01:06.587000,0 days 00:00:16.702000,0 days 00:00:29.587000,0 days 00:00:20.298000,True,False,True
5690,2019,Austrian Grand Prix,RUS,63,Williams,0 days 00:01:06.230000,0 days 00:00:16.608000,0 days 00:00:29.416000,0 days 00:00:20.206000,True,False,True
5693,2019,Austrian Grand Prix,RUS,63,Williams,0 days 00:01:05.908000,0 days 00:00:16.429000,0 days 00:00:29.329000,0 days 00:00:20.150000,True,False,True
5695,2019,Austrian Grand Prix,RUS,63,Williams,0 days 00:01:05.904000,0 days 00:00:16.390000,0 days 00:00:29.306000,0 days 00:00:20.208000,True,False,True
5698,2019,Austrian Grand Prix,KUB,88,Williams,0 days 00:01:07.579000,0 days 00:00:16.875000,0 days 00:00:30.114000,0 days 00:00:20.590000,True,False,True
5700,2019,Austrian Grand Prix,KUB,88,Williams,0 days 00:01:07.074000,0 days 00:00:16.778000,0 days 00:00:29.839000,0 days 00:00:20.457000,True,False,True
5703,2019,Austrian Grand Prix,KUB,88,Williams,0 days 00:01:06.631000,0 days 00:00:16.715000,0 days 00:00:29.568000,0 days 00:00:20.348000,True,False,True
5706,2019,Austrian Grand Prix,KUB,88,Williams,0 days 00:01:06.206000,0 days 00:00:16.722000,0 days 00:00:29.344000,0 days 00:00:20.140000,True,False,True
5984,2019,Japanese Grand Prix,RUS,63,Williams,0 days 00:01:31.343000,0 days 00:00:32.050000,0 days 00:00:41.134000,0 days 00:00:18.159000,True,False,True
5987,2019,Japanese Grand Prix,RUS,63,Williams,0 days 00:01:30.970000,0 days 00:00:31.781000,0 days 00:00:40.968000,0 days 00:00:18.221000,True,False,True
5990,2019,Japanese Grand Prix,RUS,63,Williams,0 days 00:01:30.364000,0 days 00:00:31.500000,0 days 00:00:40.698000,0 days 00:00:18.166000,True,False,True
