race_id,gp_year,gp_name,gp_round,driver_name,constructor,constructor_ref,is_williams,start_position,final_position,grid_delta
978,2017,British Grand Prix,10,Kevin Magnussen,Haas F1 Team,haas,false,16,12,4
1022,2019,Belgian Grand Prix,13,Kevin Magnussen,Haas F1 Team,haas,false,8,12,-4
979,2017,Hungarian Grand Prix,11,Kevin Magnussen,Haas F1 Team,haas,false,15,13,2
994,2018,Monaco Grand Prix,6,Kevin Magnussen,Haas F1 Team,haas,false,19,13,6
1021,2019,Hungarian Grand Prix,12,Kevin Magnussen,Haas F1 Team,haas,false,14,13,1
952,2016,Spanish Grand Prix,5,Kevin Magnussen,Renault,renault,false,15,14,1
956,2016,Austrian Grand Prix,9,Kevin Magnussen,Renault,renault,false,17,14,3
964,2016,Japanese Grand Prix,17,Kevin Magnussen,Renault,renault,false,17,14,3
967,2016,Brazilian Grand Prix,20,Kevin Magnussen,Renault,renault,false,18,14,4
973,2017,Spanish Grand Prix,5,Kevin Magnussen,Haas F1 Team,haas,false,11,14,-3
1015,2019,Monaco Grand Prix,6,Kevin Magnussen,Haas F1 Team,haas,false,5,14,-9
958,2016,Hungarian Grand Prix,11,Kevin Magnussen,Renault,renault,false,19,15,4
980,2017,Belgian Grand Prix,12,Kevin Magnussen,Haas F1 Team,haas,false,12,15,-3
1026,2019,Japanese Grand Prix,17,Kevin Magnussen,Haas F1 Team,haas,false,19,15,4
1002,2018,Italian Grand Prix,14,Kevin Magnussen,Haas F1 Team,haas,false,11,16,-5
957,2016,British Grand Prix,10,Kevin Magnussen,Renault,renault,false,16,17,-1
961,2016,Italian Grand Prix,14,Kevin Magnussen,Renault,renault,false,21,17,4
1024,2019,Singapore Grand Prix,15,Kevin Magnussen,Haas F1 Team,haas,false,13,17,-4
1003,2018,Singapore Grand Prix,15,Kevin Magnussen,Haas F1 Team,haas,false,16,18,-2
1018,2019,Austrian Grand Prix,9,Kevin Magnussen,Haas F1 Team,haas,false,10,19,-9
997,2018,Austrian Grand Prix,9,Kevin Magnussen,Haas F1 Team,haas,false,8,5,3
993,2018,Spanish Grand Prix,5,Kevin Magnussen,Haas F1 Team,haas,false,7,6,1
1000,2018,Hungarian Grand Prix,12,Kevin Magnussen,Haas F1 Team,haas,false,9,7,2
1014,2019,Spanish Grand Prix,5,Kevin Magnussen,Haas F1 Team,haas,false,8,7,1
984,2017,Japanese Grand Prix,16,Kevin Magnussen,Haas F1 Team,haas,false,12,8,4
1001,2018,Belgian Grand Prix,13,Kevin Magnussen,Haas F1 Team,haas,false,9,8,1
998,2018,British Grand Prix,10,Kevin Magnussen,Haas F1 Team,haas,false,7,9,-2
1008,2018,Brazilian Grand Prix,20,Kevin Magnussen,Haas F1 Team,haas,false,10,9,1
952,2016,Spanish Grand Prix,5,Esteban Gutiérrez,Haas F1 Team,haas,false,16,11,5
953,2016,Monaco Grand Prix,6,Esteban Gutiérrez,Haas F1 Team,haas,false,12,11,1
956,2016,Austrian Grand Prix,9,Esteban Gutiérrez,Haas F1 Team,haas,false,11,11,0
962,2016,Singapore Grand Prix,15,Esteban Gutiérrez,Haas F1 Team,haas,false,13,11,2
960,2016,Belgian Grand Prix,13,Esteban Gutiérrez,Haas F1 Team,haas,false,18,12,6
958,2016,Hungarian Grand Prix,11,Esteban Gutiérrez,Haas F1 Team,haas,false,15,13,2
961,2016,Italian Grand Prix,14,Esteban Gutiérrez,Haas F1 Team,haas,false,10,13,-3
957,2016,British Grand Prix,10,Esteban Gutiérrez,Haas F1 Team,haas,false,14,16,-2
964,2016,Japanese Grand Prix,17,Esteban Gutiérrez,Haas F1 Team,haas,false,10,20,-10
958,2016,Hungarian Grand Prix,11,Nico Hülkenberg,Force India,force_india,false,9,10,-1
961,2016,Italian Grand Prix,14,Nico Hülkenberg,Force India,force_india,false,9,10,-1
987,2017,Brazilian Grand Prix,19,Nico Hülkenberg,Renault,renault,false,7,10,-3
1003,2018,Singapore Grand Prix,15,Nico Hülkenberg,Renault,renault,false,10,10,0
1019,2019,British Grand Prix,10,Nico Hülkenberg,Renault,renault,false,10,10,0
931,2015,Monaco Grand Prix,6,Nico Hülkenberg,Force India,force_india,false,11,11,0
1000,2018,Hungarian Grand Prix,12,Nico Hülkenberg,Renault,renault,false,13,12,1
1021,2019,Hungarian Grand Prix,12,Nico Hülkenberg,Renault,renault,false,11,12,-1
977,2017,Austrian Grand Prix,9,Nico Hülkenberg,Renault,renault,false,11,13,-2
981,2017,Italian Grand Prix,13,Nico Hülkenberg,Renault,renault,false,14,13,1
1002,2018,Italian Grand Prix,14,Nico Hülkenberg,Renault,renault,false,20,13,7
