,race_id,gp_year,gp_name,gp_round,driver_name,constructor,constructor_ref,is_williams,start_position,final_position,grid_delta,gained_or_lost,num_places
72,953,2016,Monaco Grand Prix,6,Sergio Pérez,Force India,force_india,False,7,3,4,gained,4
73,967,2016,Brazilian Grand Prix,20,Sergio Pérez,Force India,force_india,False,9,4,5,gained,5
74,973,2017,Spanish Grand Prix,5,Sergio Pérez,Force India,force_india,False,8,4,4,gained,4
75,937,2015,Belgian Grand Prix,11,Sergio Pérez,Force India,force_india,False,4,5,-1,lost,1
76,960,2016,Belgian Grand Prix,13,Sergio Pérez,Force India,force_india,False,6,5,1,gained,1
77,982,2017,Singapore Grand Prix,14,Sergio Pérez,Force India,force_india,False,12,5,7,gained,7
78,1001,2018,Belgian Grand Prix,13,Sergio Pérez,Force India,force_india,False,4,5,-1,lost,1
79,938,2015,Italian Grand Prix,12,Sergio Pérez,Force India,force_india,False,7,6,1,gained,1
80,957,2016,British Grand Prix,10,Sergio Pérez,Force India,force_india,False,10,6,4,gained,4
81,1022,2019,Belgian Grand Prix,13,Sergio Pérez,Racing Point,racing_point,False,7,6,1,gained,1
82,931,2015,Monaco Grand Prix,6,Sergio Pérez,Force India,force_india,False,7,7,0,gained,0
83,939,2015,Singapore Grand Prix,13,Sergio Pérez,Force India,force_india,False,13,7,6,gained,6
84,952,2016,Spanish Grand Prix,5,Sergio Pérez,Force India,force_india,False,9,7,2,gained,2
85,964,2016,Japanese Grand Prix,17,Sergio Pérez,Force India,force_india,False,5,7,-2,lost,2
86,977,2017,Austrian Grand Prix,9,Sergio Pérez,Force India,force_india,False,7,7,0,gained,0
87,984,2017,Japanese Grand Prix,16,Sergio Pérez,Force India,force_india,False,7,7,0,gained,0
88,997,2018,Austrian Grand Prix,9,Sergio Pérez,Force India,force_india,False,16,7,9,gained,9
89,1002,2018,Italian Grand Prix,14,Sergio Pérez,Force India,force_india,False,14,7,7,gained,7
90,1005,2018,Japanese Grand Prix,17,Sergio Pérez,Force India,force_india,False,9,7,2,gained,2
91,1023,2019,Italian Grand Prix,14,Sergio Pérez,Racing Point,racing_point,False,18,7,11,gained,11
92,961,2016,Italian Grand Prix,14,Sergio Pérez,Force India,force_india,False,8,8,0,gained,0
93,962,2016,Singapore Grand Prix,15,Sergio Pérez,Force India,force_india,False,17,8,9,gained,9
94,979,2017,Hungarian Grand Prix,11,Sergio Pérez,Force India,force_india,False,13,8,5,gained,5
95,1026,2019,Japanese Grand Prix,17,Sergio Pérez,Racing Point,racing_point,False,17,8,9,gained,9
96,933,2015,Austrian Grand Prix,8,Sergio Pérez,Force India,force_india,False,13,9,4,gained,4
97,934,2015,British Grand Prix,9,Sergio Pérez,Force India,force_india,False,11,9,2,gained,2
98,978,2017,British Grand Prix,10,Sergio Pérez,Force India,force_india,False,6,9,-3,lost,3
99,981,2017,Italian Grand Prix,13,Sergio Pérez,Force India,force_india,False,10,9,1,gained,1
100,987,2017,Brazilian Grand Prix,19,Sergio Pérez,Force India,force_india,False,5,9,-4,lost,4
101,993,2018,Spanish Grand Prix,5,Sergio Pérez,Force India,force_india,False,15,9,6,gained,6
102,1029,2019,Brazilian Grand Prix,20,Sergio Pérez,Racing Point,racing_point,False,15,9,6,gained,6
