,gp_year,gp_name,gp_round,driver_name,rookie_or_experienced,laptime_std,laptime_std_ms
119,2018,Australian Grand Prix,1,Sergey Sirotkin,rookie,00:06.671,6671.631003735145
120,2018,Austrian Grand Prix,9,Lance Stroll,rookie,00:04.561,4561.508059473433
121,2018,Austrian Grand Prix,9,Sergey Sirotkin,rookie,00:04.728,4728.260624009553
122,2018,Azerbaijan Grand Prix,4,Lance Stroll,rookie,00:02.439,2439.952709628855
123,2018,Bahrain Grand Prix,2,Lance Stroll,rookie,00:04.191,4191.703133242222
124,2018,Bahrain Grand Prix,2,Sergey Sirotkin,rookie,00:05.138,5138.4185190355665
125,2018,Belgian Grand Prix,13,Lance Stroll,rookie,00:01.556,1556.4696414211664
126,2018,Belgian Grand Prix,13,Sergey Sirotkin,rookie,00:01.484,1484.6028711146103
127,2018,Brazilian Grand Prix,20,Lance Stroll,rookie,00:03.523,3523.232219721481
128,2018,Brazilian Grand Prix,20,Sergey Sirotkin,rookie,00:02.721,2721.272962854546
129,2018,British Grand Prix,10,Lance Stroll,rookie,00:04.536,4536.269050502924
130,2018,British Grand Prix,10,Sergey Sirotkin,rookie,00:04.433,4433.194717022232
131,2018,Canadian Grand Prix,7,Sergey Sirotkin,rookie,00:05.568,5568.511215458038
132,2018,Chinese Grand Prix,3,Lance Stroll,rookie,00:03.236,3236.885687566687
133,2018,Chinese Grand Prix,3,Sergey Sirotkin,rookie,00:02.325,2325.6556479713804
134,2018,French Grand Prix,8,Lance Stroll,rookie,00:01.060,1060.5434491478675
135,2018,French Grand Prix,8,Sergey Sirotkin,rookie,00:02.673,2673.9802245988794
136,2018,German Grand Prix,11,Lance Stroll,rookie,00:07.863,7863.049464670892
137,2018,German Grand Prix,11,Sergey Sirotkin,rookie,00:05.675,5675.773643526405
138,2018,Hungarian Grand Prix,12,Lance Stroll,rookie,00:03.806,3806.239690111188
139,2018,Hungarian Grand Prix,12,Sergey Sirotkin,rookie,00:03.678,3678.125162846489
140,2018,Italian Grand Prix,14,Lance Stroll,rookie,00:05.265,5265.908569549718
141,2018,Italian Grand Prix,14,Sergey Sirotkin,rookie,00:05.289,5289.23616726094
142,2018,Japanese Grand Prix,17,Lance Stroll,rookie,00:03.513,3513.743897687821
143,2018,Japanese Grand Prix,17,Sergey Sirotkin,rookie,00:04.318,4318.339387085822
144,2018,Mexican Grand Prix,19,Lance Stroll,rookie,00:06.085,6085.37190481805
145,2018,Mexican Grand Prix,19,Sergey Sirotkin,rookie,00:05.842,5842.273554170178
146,2018,Monaco Grand Prix,6,Lance Stroll,rookie,00:06.645,6645.898832857492
147,2018,Monaco Grand Prix,6,Sergey Sirotkin,rookie,00:05.333,5333.447964114707
148,2018,Russian Grand Prix,16,Lance Stroll,rookie,00:02.574,2574.682968490553
149,2018,Russian Grand Prix,16,Sergey Sirotkin,rookie,00:02.901,2901.5088818455392
150,2018,Singapore Grand Prix,15,Lance Stroll,rookie,00:01.920,1920.9059568207522
151,2018,Singapore Grand Prix,15,Sergey Sirotkin,rookie,00:02.586,2586.725425877747
152,2018,Spanish Grand Prix,5,Lance Stroll,rookie,00:04.918,4918.127957645003
153,2018,Spanish Grand Prix,5,Sergey Sirotkin,rookie,00:06.208,6208.560892183315
154,2018,United States Grand Prix,18,Lance Stroll,rookie,00:03.862,3862.613997556278
155,2018,United States Grand Prix,18,Sergey Sirotkin,rookie,00:03.086,3086.747309803187
156,2019,Abu Dhabi Grand Prix,21,George Russell,rookie,00:02.365,2365.404804001294
157,2019,Abu Dhabi Grand Prix,21,Robert Kubica,experienced,00:01.878,1878.3504848982773
158,2019,Australian Grand Prix,1,George Russell,rookie,00:04.270,4270.692245318174
159,2019,Australian Grand Prix,1,Robert Kubica,experienced,00:04.159,4159.886745261605
